City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,nuuk,64.1835,-51.7216,9.34,76,40,4.63,GL,2024-08-26 19:50:04
1,isafjordur,66.0755,-23.124,11.02,62,0,0.51,IS,2024-08-26 19:50:06
2,east london,-33.0153,27.9116,18.86,70,4,2.13,ZA,2024-08-26 19:40:19
3,bredasdorp,-34.5322,20.0403,12.35,90,100,5.41,ZA,2024-08-26 19:50:09
4,adamstown,-25.066,-130.1015,18.65,73,100,7.81,PN,2024-08-26 19:50:10
5,kingston,17.997,-76.7936,33.53,62,20,9.77,JM,2024-08-26 19:50:11
6,nemuro,43.3236,145.575,18.67,100,100,5.71,JP,2024-08-26 19:43:40
7,susuman,62.7833,148.1667,11.76,94,100,0.68,RU,2024-08-26 19:47:30
8,mata-utu,-13.2816,-176.1745,25.82,76,100,4.85,WF,2024-08-26 19:49:34
9,harstad,68.799,16.5293,11.2,93,73,14.75,NO,2024-08-26 19:50:18
10,sainte-rose,16.3324,-61.6979,31.02,62,40,4.63,GP,2024-08-26 19:50:19
11,olonkinbyen,70.9221,-8.7187,2.7,95,100,13.07,SJ,2024-08-26 19:50:21
12,georgetown,5.4112,100.3354,25.97,78,20,0.0,MY,2024-08-26 19:39:30
13,grytviken,-54.2811,-36.5092,1.76,83,64,3.62,GS,2024-08-26 19:50:24
14,lerwick,60.1545,-1.1494,11.31,90,19,4.09,GB,2024-08-26 19:50:25
15,yellowknife,62.456,-114.3525,19.12,58,100,8.23,CA,2024-08-26 19:50:27
16,rongelap,11.1635,166.8941,28.48,78,100,9.56,MH,2024-08-26 19:41:00
17,iqaluit,63.7506,-68.5145,8.85,87,75,2.57,CA,2024-08-26 19:50:30
18,hadibu,12.65,54.0333,26.59,79,100,7.7,YE,2024-08-26 19:43:22
19,huarmey,-10.0681,-78.1522,20.26,76,96,4.8,PE,2024-08-26 19:49:37
20,stanley,54.868,-1.6985,15.01,79,75,3.09,GB,2024-08-26 19:50:34
21,qaqortoq,60.7167,-46.0333,7.24,77,3,2.05,GL,2024-08-26 19:50:35
22,bondo,3.8146,23.6866,23.49,82,100,1.11,CD,2024-08-26 19:50:37
23,klyuchi,52.2667,79.1667,14.21,73,97,2.79,RU,2024-08-26 19:50:38
